Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Rec Yds,Y/Rec,Rec TD,Rec 1D,Rec Lng,Rec/G,Rec Y/G,Ctch%,Y/Tgt,Att,Rush Yds,Rush TD,Rush 1D,Rush Lng,Rush Y/A,Rush Y/G,Rush A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Player ID
1,David Johnson*+,ARI,25,RB,16,16,120,80,879,11.0,4,42,58,5.0,54.9,66.7%,7.3,293,1239,16,73,58,4.2,77.4,18.3,373,5.7,2118,20,5,JohnDa08
2,Ezekiel Elliott*+,DAL,21,RB,15,15,39,32,363,11.3,1,11,83,2.1,24.2,82.1%,9.3,322,1631,15,95,60,5.1,108.7,21.5,354,5.6,1994,16,5,ElliEz00
3,Le'Veon Bell*,PIT,24,RB,12,12,94,75,616,8.2,2,32,32,6.3,51.3,79.8%,6.6,261,1268,7,70,44,4.9,105.7,21.8,336,5.6,1884,9,4,BellLe00
4,DeMarco Murray*,TEN,28,RB,16,16,67,53,377,7.1,3,20,35,3.3,23.6,79.1%,5.6,293,1287,9,67,75,4.4,80.4,18.3,346,4.8,1664,12,3,MurrDe00
5,LeSean McCoy*,BUF,28,RB,15,15,57,50,356,7.1,1,17,41,3.3,23.7,87.7%,6.2,234,1267,13,56,75,5.4,84.5,15.6,284,5.7,1623,14,3,McCoLe01
6,Jordan Howard*,CHI,22,RB,15,13,50,29,298,10.3,1,12,34,1.9,19.9,58.0%,6.0,252,1313,6,73,69,5.2,87.5,16.8,281,5.7,1611,7,2,HowaJo00
7,Devonta Freeman*,ATL,24,RB,16,16,65,54,462,8.6,2,22,35,3.4,28.9,83.1%,7.1,227,1079,11,66,75,4.8,67.4,14.2,281,5.5,1541,13,1,FreeDe00
8,T.Y. Hilton*,IND,27,WR,16,16,155,91,1448,15.9,6,66,63,5.7,90.5,58.7%,9.3,,,,0,,,,,91,15.9,1448,6,0,HiltT.00
9,Jay Ajayi*,MIA,23,RB,15,12,35,27,151,5.6,0,8,15,1.8,10.1,77.1%,4.3,260,1272,8,63,62,4.9,84.8,17.3,287,5.0,1423,8,4,AjayJa00
10,Melvin Gordon*,SDG,23,RB,13,11,57,41,419,10.2,2,21,35,3.2,32.2,71.9%,7.4,254,997,10,62,48,3.9,76.7,19.5,295,4.8,1416,12,2,GordMe00
11,Julio Jones*+,ATL,27,WR,14,14,129,83,1409,17.0,6,64,75,5.9,100.6,64.3%,10.9,,,,0,,,,,83,17.0,1409,6,0,JoneJu02
12,Odell Beckham Jr.*,NYG,24,WR,16,16,169,101,1367,13.5,10,66,75,6.3,85.4,59.8%,8.1,1,9,0,0,9,9.0,0.6,0.1,102,13.5,1376,10,3,BeckOd00
13,Spencer Ware,KAN,25,RB,14,14,42,33,447,13.5,2,17,46,2.4,31.9,78.6%,10.6,214,921,3,50,46,4.3,65.8,15.3,247,5.5,1368,5,4,WareSp00
14,Mark Ingram,NOR,27,RB,16,14,58,46,319,6.9,4,18,22,2.9,19.9,79.3%,5.5,205,1043,6,50,75,5.1,65.2,12.8,251,5.4,1362,10,2,IngrMa01
15,Mike Evans*,TAM,23,WR,16,16,173,96,1321,13.8,12,82,45,6.0,82.6,55.5%,7.6,,,,0,,,,,96,13.8,1321,12,0,EvanMi00
16,Frank Gore,IND,33,RB,16,16,47,38,277,7.3,4,14,49,2.4,17.3,80.9%,5.9,263,1025,4,50,22,3.9,64.1,16.4,301,4.3,1302,8,2,GoreFr00
17,Antonio Brown*+,PIT,28,WR,15,15,154,106,1284,12.1,12,64,51,7.1,85.6,68.8%,8.3,3,9,0,1,13,3.0,0.6,0.2,109,11.9,1293,12,0,BrowAn04
18,Isaiah Crowell,CLE,23,RB,16,16,53,40,319,8.0,0,14,44,2.5,19.9,75.5%,6.0,198,952,7,45,85,4.8,59.5,12.4,238,5.3,1271,7,2,CrowIs00
19,Lamar Miller,HOU,25,RB,14,14,39,31,188,6.1,1,9,16,2.2,13.4,79.5%,4.8,268,1073,5,55,45,4.0,76.6,19.1,299,4.2,1261,6,2,MillLa01
20,Jordy Nelson,GNB,31,WR,16,16,152,97,1257,13.0,14,62,60,6.1,78.6,63.8%,8.3,,,,0,,,,,97,13.0,1257,14,1,NelsJo00
21,Todd Gurley,LAR,22,RB,16,16,58,43,327,7.6,0,16,33,2.7,20.4,74.1%,5.6,278,885,6,49,24,3.2,55.3,17.4,321,3.8,1212,6,2,GurlTo01
22,Brandin Cooks,NOR,23,WR,16,12,117,78,1173,15.0,8,46,98,4.9,73.3,66.7%,10.0,6,30,0,1,11,5.0,1.9,0.4,84,14.3,1203,8,1,CookBr00
23,LeGarrette Blount,NWE,30,RB,16,8,8,7,38,5.4,0,1,16,0.4,2.4,87.5%,4.8,299,1161,18,68,44,3.9,72.6,18.7,306,3.9,1199,18,2,BlouLe00
24,Julian Edelman,NWE,30,WR,16,13,159,98,1106,11.3,3,56,77,6.1,69.1,61.6%,7.0,12,57,0,3,9,4.8,3.6,0.8,110,10.6,1163,3,3,EdelJu00
25,Amari Cooper*,OAK,22,WR,16,14,132,83,1153,13.9,5,49,64,5.2,72.1,62.9%,8.7,1,0,0,0,0,0.0,0.0,0.1,84,13.7,1153,5,2,CoopAm00
26,Jarvis Landry*,MIA,24,WR,16,16,131,94,1136,12.1,4,53,71,5.9,71.0,71.8%,8.7,5,17,0,1,13,3.4,1.1,0.3,99,11.6,1153,4,2,LandJa00
27,Carlos Hyde,SFO,26,RB,13,13,33,27,163,6.0,3,7,19,2.1,12.5,81.8%,4.9,217,988,6,48,47,4.6,76.0,16.7,244,4.7,1151,9,5,HydeCa00
28,Michael Thomas,NOR,23,WR,15,12,121,92,1137,12.4,9,62,46,6.1,75.8,76.0%,9.4,,,,0,,,,,92,12.4,1137,9,2,ThomMi05
29,Doug Baldwin*,SEA,28,WR,16,15,125,94,1128,12.0,7,51,59,5.9,70.5,75.2%,9.0,3,2,0,0,4,0.7,0.1,0.2,97,11.6,1130,7,1,BaldDo00
30,Travis Kelce*+,KAN,27,TE,16,15,117,85,1125,13.2,4,55,80,5.3,70.3,72.6%,9.6,1,-5,0,0,-5,-5.0,-0.3,0.1,86,13.0,1120,4,0,KelcTr00
31,Bilal Powell,NYJ,28,RB,16,4,74,58,388,6.7,2,21,22,3.6,24.3,78.4%,5.2,131,722,3,44,35,5.5,45.1,8.2,189,5.9,1110,5,1,PoweBi00
32,Demaryius Thomas*,DEN,29,WR,16,16,144,90,1083,12.0,5,50,55,5.6,67.7,62.5%,7.5,,,,0,,,,,90,12.0,1083,5,2,ThomDe03
