Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Rec Yds,Y/Rec,Rec TD,Rec 1D,Rec Lng,Rec/G,Rec Y/G,Ctch%,Y/Tgt,Att,Rush Yds,Rush TD,Rush 1D,Rush Lng,Rush Y/A,Rush Y/G,Rush A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Player ID
33,Golden Tate,DET,28,WR,16,16,135,91,1077,11.8,4,47,67,5.7,67.3,67.4%,8.0,10,4,0,1,11,0.4,0.3,0.6,101,10.7,1081,4,2,TateGo00
34,Matt Forte,NYJ,31,RB,14,13,43,30,263,8.8,1,10,40,2.1,18.8,69.8%,6.1,218,813,7,36,32,3.7,58.1,15.6,248,4.3,1076,8,1,FortMa00
35,Greg Olsen*,CAR,31,TE,16,16,129,80,1073,13.4,3,54,78,5.0,67.1,62.0%,8.3,,,,0,,,,,80,13.4,1073,3,0,OlseGr00
36,Tyrell Williams,SDG,24,WR,16,12,119,69,1059,15.3,7,48,51,4.3,66.2,58.0%,8.9,,,,0,,,,,69,15.3,1059,7,0,WillTy00
37,Latavius Murray,OAK,26,RB,14,12,43,33,264,8.0,0,11,39,2.4,18.9,76.7%,6.1,195,788,12,52,42,4.0,56.3,13.9,228,4.6,1052,12,2,MurrLa00
38,Mike Wallace,BAL,30,WR,16,16,116,72,1017,14.1,4,43,95,4.5,63.6,62.1%,8.8,5,31,0,2,13,6.2,1.9,0.3,77,13.6,1048,4,1,WallMi00
39,Pierre Garcon,WAS,30,WR,16,16,114,79,1041,13.2,3,53,70,4.9,65.1,69.3%,9.1,,,,0,,,,,79,13.2,1041,3,0,GarcPi00
40,Emmanuel Sanders*,DEN,29,WR,16,16,137,79,1032,13.1,5,50,64,4.9,64.5,57.7%,7.5,1,4,0,0,4,4.0,0.3,0.1,80,13.0,1036,5,1,SandEm00
41,Larry Fitzgerald*,ARI,33,WR,16,16,150,107,1023,9.6,6,60,33,6.7,63.9,71.3%,6.8,2,5,0,0,4,2.5,0.3,0.1,109,9.4,1028,6,2,FitzLa00
42,Terrelle Pryor,CLE,27,WR,16,15,140,77,1007,13.1,4,50,54,4.8,62.9,55.0%,7.2,8,21,1,3,15,2.6,1.3,0.5,85,12.1,1028,5,1,PryoTe00
43,Jeremy Hill,CIN,24,RB,15,13,27,21,174,8.3,0,6,25,1.4,11.6,77.8%,6.4,222,839,9,46,74,3.8,55.9,14.8,243,4.2,1013,9,0,HillJe01
44,Terrance West,BAL,25,RB,16,13,45,34,236,6.9,1,11,17,2.1,14.8,75.6%,5.2,193,774,5,38,41,4.0,48.4,12.1,227,4.4,1010,6,2,WestTe00
45,DeSean Jackson,WAS,30,WR,15,15,100,56,1005,17.9,4,35,80,3.7,67.0,56.0%,10.1,,,,0,,,,,56,17.9,1005,4,0,JackDe00
46,Michael Crabtree,OAK,29,WR,16,16,145,89,1003,11.3,8,56,56,5.6,62.7,61.4%,6.9,,,,0,,,,,89,11.3,1003,8,2,CrabMi00
47,Kenny Britt,LAR,28,WR,15,15,111,68,1002,14.7,5,47,66,4.5,66.8,61.3%,9.0,,,,0,,,,,68,14.7,1002,5,2,BritKe00
48,Davante Adams,GNB,24,WR,16,15,121,75,997,13.3,12,46,66,4.7,62.3,62.0%,8.2,,,,0,,,,,75,13.3,997,12,2,AdamDa01
49,Adam Thielen,MIN,26,WR,16,10,92,69,967,14.0,5,44,71,4.3,60.4,75.0%,10.5,2,15,0,1,11,7.5,0.9,0.1,71,13.8,982,5,2,ThieAd00
50,A.J. Green*,CIN,28,WR,10,10,100,66,964,14.6,4,42,54,6.6,96.4,66.0%,9.6,,,,0,,,,,66,14.6,964,4,0,GreeA.00
51,DeAndre Hopkins,HOU,24,WR,16,16,151,78,954,12.2,4,57,51,4.9,59.6,51.7%,6.3,,,,0,,,,,78,12.2,954,4,0,HopkDe00
52,Rishard Matthews,TEN,27,WR,16,9,108,65,945,14.5,9,43,60,4.1,59.1,60.2%,8.8,,,,0,,,,,65,14.5,945,9,1,MattRi00
53,Kelvin Benjamin,CAR,25,WR,16,13,118,63,941,14.9,7,50,50,3.9,58.8,53.4%,8.0,,,,0,,,,,63,14.9,941,7,1,BenjKe00
54,Tevin Coleman,ATL,23,RB,13,0,40,31,421,13.6,3,16,49,2.4,32.4,77.5%,10.5,118,520,8,25,55,4.4,40.0,9.1,149,6.3,941,11,1,ColeTe01
55,Marvin Jones,DET,26,WR,15,15,103,55,930,16.9,4,41,73,3.7,62.0,53.4%,9.0,1,3,0,0,3,3.0,0.2,0.1,56,16.7,933,4,0,JoneMa02
56,Jimmy Graham*,SEA,30,TE,16,15,95,65,923,14.2,6,45,42,4.1,57.7,68.4%,9.7,1,0,0,0,0,0.0,0.0,0.1,66,14.0,923,6,2,GrahJi00
57,Stefon Diggs,MIN,23,WR,13,11,112,84,903,10.8,3,48,46,6.5,69.5,75.0%,8.1,3,10,0,1,12,3.3,0.8,0.2,87,10.5,913,3,0,DiggSt00
58,Willie Snead,NOR,24,WR,15,4,104,72,895,12.4,4,51,49,4.8,59.7,69.2%,8.6,,,,0,,,,,72,12.4,895,4,2,SneaWi00
59,Cameron Meredith,CHI,24,WR,14,10,97,66,888,13.5,4,44,50,4.7,63.4,68.0%,9.2,1,6,0,0,6,6.0,0.4,0.1,67,13.3,894,4,3,MereCa00
60,Marqise Lee,JAX,25,WR,16,6,105,63,851,13.5,3,44,51,3.9,53.2,60.0%,8.1,6,35,0,2,11,5.8,2.2,0.4,69,12.8,886,3,1,LeexMa00
61,Jonathan Stewart,CAR,29,RB,13,13,21,8,60,7.5,0,1,25,0.6,4.6,38.1%,2.9,218,824,9,49,47,3.8,63.4,16.8,226,3.9,884,9,3,StewJo00
62,Allen Robinson,JAX,23,WR,16,16,151,73,883,12.1,6,51,42,4.6,55.2,48.3%,5.8,,,,0,,,,,73,12.1,883,6,1,RobiAl02
63,Devontae Booker,DEN,24,RB,16,6,45,31,265,8.5,1,8,43,1.9,16.6,68.9%,5.9,174,612,4,31,18,3.5,38.3,10.9,205,4.3,877,5,4,BookDe00
64,Duke Johnson,CLE,23,RB,16,1,74,53,514,9.7,0,24,32,3.3,32.1,71.6%,6.9,73,358,1,18,22,4.9,22.4,4.6,126,6.9,872,1,2,JohnDu00
65,Quincy Enunwa,NYJ,24,WR,16,13,105,58,857,14.8,4,37,69,3.6,53.6,55.2%,8.2,1,12,0,1,12,12.0,0.8,0.1,59,14.7,869,4,0,EnunQu00
66,Darren Sproles*,PHI,33,RB,15,5,71,52,427,8.2,2,19,73,3.5,28.5,73.2%,6.0,94,438,2,22,25,4.7,29.2,6.3,146,5.9,865,4,1,SproDa00
67,Tyreek Hill*+,KAN,22,WR,16,1,83,61,593,9.7,6,31,49,3.8,37.1,73.5%,7.1,24,267,3,11,70,11.1,16.7,1.5,85,10.1,860,9,4,HillTy00
68,Brandon LaFell,CIN,30,WR,16,14,107,64,862,13.5,6,42,86,4.0,53.9,59.8%,8.1,1,-2,0,0,-2,-2.0,-0.1,0.1,65,13.2,860,6,0,LaFeBr00
69,Ted Ginn Jr.,CAR,31,WR,16,8,95,54,752,13.9,4,27,88,3.4,47.0,56.8%,7.9,14,98,0,7,20,7.0,6.1,0.9,68,12.5,850,4,3,GinnTe00
70,Jamison Crowder,WAS,23,WR,16,9,99,67,847,12.6,7,34,55,4.2,52.9,67.7%,8.6,2,-2,0,1,7,-1.0,-0.1,0.1,69,12.2,845,7,2,CrowJa00
71,Cole Beasley,DAL,27,WR,16,6,98,75,833,11.1,5,51,47,4.7,52.1,76.5%,8.5,1,7,0,0,7,7.0,0.4,0.1,76,11.1,840,5,0,BeasCo00
72,Kyle Rudolph,MIN,27,TE,16,16,132,83,840,10.1,7,50,44,5.2,52.5,62.9%,6.4,,,,0,,,,,83,10.1,840,7,0,RudoKy00
73,Alshon Jeffery,CHI,26,WR,12,12,94,52,821,15.8,2,42,54,4.3,68.4,55.3%,8.7,,,,0,,,,,52,15.8,821,2,0,JeffAl00
74,Zach Ertz,PHI,26,TE,14,12,106,78,816,10.5,4,42,30,5.6,58.3,73.6%,7.7,,,,0,,,,,78,10.5,816,4,0,ErtzZa00
75,Delanie Walker*,TEN,32,TE,15,9,102,65,800,12.3,7,35,47,4.3,53.3,63.7%,7.8,2,11,0,0,8,5.5,0.7,0.1,67,12.1,811,7,1,WalkHu00
76,Dontrelle Inman,SDG,27,WR,16,16,97,58,810,14.0,4,37,57,3.6,50.6,59.8%,8.4,,,,0,,,,,58,14.0,810,4,0,InmaDo00
77,Ty Montgomery,GNB,23,RB,15,6,56,44,348,7.9,0,20,24,2.9,23.2,78.6%,6.2,77,457,3,20,61,5.9,30.5,5.1,121,6.7,805,3,2,MontTy01
78,Jordan Matthews,PHI,24,WR,14,13,117,73,804,11.0,3,38,54,5.2,57.4,62.4%,6.9,,,,0,,,,,73,11.0,804,3,1,MattJo00
79,Steve Smith Sr.,BAL,37,WR,14,14,101,70,799,11.4,5,39,52,5.0,57.1,69.3%,7.9,,,,0,,,,,70,11.4,799,5,0,SmitSt01
80,Dez Bryant*,DAL,28,WR,13,13,96,50,796,15.9,8,38,56,3.8,61.2,52.1%,8.3,,,,0,,,,,50,15.9,796,8,1,BryaDe01
81,Rashad Jennings,NYG,31,RB,13,12,42,35,201,5.7,1,8,24,2.7,15.5,83.3%,4.8,181,593,3,29,25,3.3,45.6,13.9,216,3.7,794,4,1,JennRa00
82,Jerick McKinnon,MIN,24,RB,15,7,53,43,255,5.9,2,17,41,2.9,17.0,81.1%,4.8,159,539,2,21,36,3.4,35.9,10.6,202,3.9,794,4,0,McKiJe00
83,Brandon Marshall,NYJ,32,WR,15,15,128,59,788,13.4,3,45,41,3.9,52.5,46.1%,6.2,,,,0,,,,,59,13.4,788,3,0,MarsBr00
84,Robert Kelley,WAS,24,RB,15,9,18,12,82,6.8,1,6,22,0.8,5.5,66.7%,4.6,168,704,6,30,66,4.2,46.9,11.2,180,4.4,786,7,0,KellRo00
85,T.J. Yeldon,JAX,23,RB,15,13,68,50,312,6.2,1,16,17,3.3,20.8,73.5%,4.6,130,465,1,21,16,3.6,31.0,8.7,180,4.3,777,2,2,YeldT.00
86,Ryan Mathews,PHI,29,RB,13,8,14,13,115,8.8,1,7,27,1.0,8.8,92.9%,8.2,155,661,8,40,30,4.3,50.8,11.9,168,4.6,776,9,3,MathRy00
87,Tim Hightower,NOR,30,RB,16,1,26,22,200,9.1,1,11,50,1.4,12.5,84.6%,7.7,133,548,4,32,30,4.1,34.3,8.3,155,4.8,748,5,0,HighTi00
88,DeVante Parker,MIA,23,WR,15,8,87,56,744,13.3,4,35,56,3.7,49.6,64.4%,8.6,,,,0,,,,,56,13.3,744,4,0,ParkDe01
89,Dennis Pitta,BAL,31,TE,16,12,121,86,729,8.5,2,37,30,5.4,45.6,71.1%,6.0,,,,0,,,,,86,8.5,729,2,1,PittDe00
90,Theo Riddick,DET,25,RB,10,8,67,53,371,7.0,5,20,23,5.3,37.1,79.1%,5.5,92,357,1,21,42,3.9,35.7,9.2,145,5.0,728,6,0,RiddTh00
91,Kenny Stills,MIA,24,WR,16,16,81,42,726,17.3,9,30,74,2.6,45.4,51.9%,9.0,,,,0,,,,,42,17.3,726,9,0,StilKe00
92,James White,NWE,24,RB,16,4,86,60,551,9.2,5,26,61,3.8,34.4,69.8%,6.4,39,166,0,8,16,4.3,10.4,2.4,99,7.2,717,5,0,WhitJa02
93,Sterling Shepard,NYG,23,WR,16,16,105,65,683,10.5,8,42,32,4.1,42.7,61.9%,6.5,3,31,0,1,22,10.3,1.9,0.2,68,10.5,714,8,0,ShepSt00
94,Eric Ebron,DET,23,TE,13,13,85,61,711,11.7,1,37,61,4.7,54.7,71.8%,8.4,1,1,1,1,1,1.0,0.1,0.1,62,11.5,712,2,0,EbroEr00
95,Martellus Bennett,NWE,29,TE,16,12,73,55,701,12.7,7,31,58,3.4,43.8,75.3%,9.6,2,10,0,0,6,5.0,0.6,0.1,57,12.5,711,7,0,BennMa00
96,Tyler Lockett,SEA,24,WR,15,9,66,41,597,14.6,1,23,57,2.7,39.8,62.1%,9.0,6,114,1,4,75,19.0,7.6,0.4,47,15.1,711,2,0,LockTy00
97,Chris Thompson,WAS,26,RB,16,0,62,49,349,7.1,2,19,38,3.1,21.8,79.0%,5.6,68,356,3,16,25,5.2,22.3,4.3,117,6.0,705,5,2,ThomCh03
98,Christine Michael,2TM,26,RB,15,7,29,22,107,4.9,1,0,13,1.5,7.1,75.9%,3.7,148,583,7,0,42,3.9,38.9,9.9,170,4.1,690,8,2,MichCh00
99,Chris Hogan,NWE,29,WR,15,14,58,38,680,17.9,4,23,79,2.5,45.3,65.5%,11.7,3,9,0,0,6,3.0,0.6,0.2,41,16.8,689,4,1,HogaCh00
100,Jordan Reed*,WAS,26,TE,12,8,89,66,686,10.4,6,41,33,5.5,57.2,74.2%,7.7,,,,0,,,,,66,10.4,686,6,1,ReedJo02
101,Jalen Richard,OAK,23,RB,16,0,39,29,194,6.7,2,8,29,1.8,12.1,74.4%,5.0,83,491,1,15,75,5.9,30.7,5.2,112,6.1,685,3,0,RichJa01
102,Travis Benjamin,SDG,27,WR,14,8,75,47,677,14.4,4,25,54,3.4,48.4,62.7%,9.0,2,-3,0,0,-1,-1.5,-0.2,0.1,49,13.8,674,4,5,BenjTr00
103,Giovani Bernard,CIN,25,RB,10,2,51,39,336,8.6,1,16,32,3.9,33.6,76.5%,6.6,91,337,2,16,17,3.7,33.7,9.1,130,5.2,673,3,1,BernGi00
104,Jason Witten,DAL,34,TE,16,16,95,69,673,9.8,3,34,35,4.3,42.1,72.6%,7.1,,,,0,,,,,69,9.8,673,3,1,WittJa00
105,Tavon Austin,LAR,26,WR,15,15,106,58,509,8.8,3,25,43,3.9,33.9,54.7%,4.8,28,159,1,8,30,5.7,10.6,1.9,86,7.8,668,4,5,AustTa00
106,Jeremy Kerley,SFO,28,WR,16,13,115,64,667,10.4,3,33,33,4.0,41.7,55.7%,5.8,,,,0,,,,,64,10.4,667,3,4,KerlJe00
107,Matt Asiata,MIN,29,RB,16,6,38,32,263,8.2,0,9,31,2.0,16.4,84.2%,6.9,121,402,6,28,29,3.3,25.1,7.6,153,4.3,665,6,1,AsiaMa00
108,Tyler Boyd,CIN,22,WR,16,2,81,54,603,11.2,1,33,30,3.4,37.7,66.7%,7.4,4,58,0,2,39,14.5,3.6,0.3,58,11.4,661,1,1,BoydTy00
109,Cameron Brate,TAM,25,TE,15,10,81,57,660,11.6,8,40,38,3.8,44.0,70.4%,8.1,,,,0,,,,,57,11.6,660,8,1,BratCa00
110,Jacquizz Rodgers,TAM,26,RB,10,5,16,13,98,7.5,0,3,21,1.3,9.8,81.3%,6.1,129,560,2,31,45,4.3,56.0,12.9,142,4.6,658,2,0,RodgJa00
111,Mohamed Sanu,ATL,27,WR,15,15,81,59,653,11.1,4,33,59,3.9,43.5,72.8%,8.1,1,5,0,0,5,5.0,0.3,0.1,60,11.0,658,4,1,SanuMo00
112,JJ Nelson,ARI,24,WR,15,6,74,34,568,16.7,6,26,80,2.3,37.9,45.9%,7.7,4,83,1,3,56,20.8,5.5,0.3,38,17.1,651,7,1,NelsJJ00
113,Randall Cobb,GNB,26,WR,13,10,84,60,610,10.2,4,36,47,4.6,46.9,71.4%,7.3,10,33,0,4,14,3.3,2.5,0.8,70,9.2,643,4,1,CobbRa00
114,Adam Humphries,TAM,23,WR,15,4,83,55,622,11.3,2,27,42,3.7,41.5,66.3%,7.5,5,18,0,0,8,3.6,1.2,0.3,60,10.7,640,2,3,HumpAd00
115,Coby Fleener,NOR,28,TE,16,8,81,50,631,12.6,3,28,50,3.1,39.4,61.7%,7.8,1,2,1,1,2,2.0,0.1,0.1,51,12.4,633,4,2,FleeCo00
116,Will Fuller,HOU,22,WR,14,13,92,47,635,13.5,2,31,53,3.4,45.4,51.1%,6.9,1,-3,0,0,-3,-3.0,-0.2,0.1,48,13.2,632,2,2,FullWi01
117,Taylor Gabriel,ATL,25,WR,13,3,50,35,579,16.5,6,23,76,2.7,44.5,70.0%,11.6,4,51,1,3,27,12.8,3.9,0.3,39,16.2,630,7,0,GabrTa00
118,Robbie Anderson,NYJ,23,WR,16,8,78,42,587,14.0,2,19,52,2.6,36.7,53.8%,7.5,3,42,0,2,30,14.0,2.6,0.2,45,14.0,629,2,1,AndeRo04
119,Mike Gillislee,BUF,26,RB,15,1,11,9,50,5.6,1,1,18,0.6,3.3,81.8%,4.5,101,577,8,41,44,5.7,38.5,6.7,110,5.7,627,9,1,GillMi00
120,Derrick Henry,TEN,22,RB,15,2,15,13,137,10.5,0,5,29,0.9,9.1,86.7%,9.1,110,490,5,29,22,4.5,32.7,7.3,123,5.1,627,5,0,HenrDe00
121,Chris Ivory,JAX,28,RB,11,1,28,20,186,9.3,0,10,37,1.8,16.9,71.4%,6.6,117,439,3,21,42,3.8,39.9,10.6,137,4.6,625,3,5,IvorCh00
122,Robert Woods,BUF,24,WR,13,10,76,51,613,12.0,1,34,34,3.9,47.2,67.1%,8.1,1,6,0,1,6,6.0,0.5,0.1,52,11.9,619,1,0,WoodRo02
123,Paul Perkins,NYG,22,RB,14,1,24,15,162,10.8,0,6,67,1.1,11.6,62.5%,6.8,112,456,0,24,22,4.1,32.6,8.0,127,4.9,618,0,1,PerkPa00
124,Gary Barnidge,CLE,31,TE,16,16,82,55,612,11.1,2,34,43,3.4,38.3,67.1%,7.5,,,,0,,,,,55,11.1,612,2,0,BarnGa01
125,Eli Rogers,PIT,24,WR,13,8,66,48,594,12.4,3,24,39,3.7,45.7,72.7%,9.0,1,6,0,0,6,6.0,0.5,0.1,49,12.2,600,3,2,RogeEl00
126,Terrance Williams,DAL,27,WR,16,15,61,44,594,13.5,4,34,47,2.8,37.1,72.1%,9.7,,,,0,,,,,44,13.5,594,4,1,WillTe01
127,Victor Cruz,NYG,30,WR,15,12,72,39,586,15.0,1,25,48,2.6,39.1,54.2%,8.1,,,,0,,,,,39,15.0,586,1,1,CruzVi00
128,Anquan Boldin,DET,36,WR,16,16,95,67,584,8.7,8,41,35,4.2,36.5,70.5%,6.1,,,,0,,,,,67,8.7,584,8,0,BoldAn00
129,Jack Doyle,IND,26,TE,16,14,75,59,584,9.9,5,32,24,3.7,36.5,78.7%,7.8,,,,0,,,,,59,9.9,584,5,1,DoylJa00
130,Vernon Davis,WAS,32,TE,16,14,59,44,583,13.3,2,22,44,2.8,36.4,74.6%,9.9,,,,0,,,,,44,13.3,583,2,0,DaviVe00
131,DeAndre Washington,OAK,23,RB,14,2,23,17,115,6.8,0,4,18,1.2,8.2,73.9%,5.0,87,467,2,19,30,5.4,33.4,6.2,104,5.6,582,2,1,WashDe00
132,Tyrod Taylor,BUF,27,QB,15,15,0,0,0,,0,0,0,0.0,0.0,0.0%,,95,580,6,34,49,6.1,38.7,6.3,95,6.1,580,6,4,TaylTy00
133,C.J. Anderson,DEN,25,RB,7,7,24,16,128,8.0,1,6,25,2.3,18.3,66.7%,5.3,110,437,4,23,28,4.0,62.4,15.7,126,4.5,565,5,0,AndeC.00
134,Brian Quick,LAR,27,WR,16,8,77,41,564,13.8,3,22,65,2.6,35.3,53.2%,7.3,,,,0,,,,,41,13.8,564,3,0,QuicBr00
135,C.J. Fiedorowicz,HOU,25,TE,15,15,89,54,559,10.4,4,30,26,3.6,37.3,60.7%,6.3,,,,0,,,,,54,10.4,559,4,1,FiedC.00
136,Doug Martin,TAM,27,RB,8,8,16,14,134,9.6,0,4,27,1.8,16.8,87.5%,8.4,144,421,3,24,17,2.9,52.6,18.0,158,3.5,555,3,1,MartDo00
137,Charles Clay,BUF,27,TE,15,15,87,57,552,9.7,4,22,40,3.8,36.8,65.5%,6.3,,,,0,,,,,57,9.7,552,4,0,ClayCh00
138,Antonio Gates,SDG,36,TE,14,9,93,53,548,10.3,7,34,27,3.8,39.1,57.0%,5.9,,,,0,,,,,53,10.3,548,7,1,GateAn00
139,Kenneth Dixon,BAL,22,RB,12,0,41,30,162,5.4,1,7,16,2.5,13.5,73.2%,4.0,88,382,2,30,20,4.3,31.8,7.3,118,4.6,544,3,1,DixoKe00
140,Rob Gronkowski,NWE,27,TE,8,6,38,25,540,21.6,3,20,53,3.1,67.5,65.8%,14.2,,,,0,,,,,25,21.6,540,3,0,GronRo00
141,Phillip Dorsett,IND,23,WR,15,7,59,33,528,16.0,2,20,64,2.2,35.2,55.9%,8.9,2,10,0,1,7,5.0,0.7,0.1,35,15.4,538,2,1,DorsPh00
142,Jeremy Maclin,KAN,28,WR,12,12,76,44,536,12.2,2,29,44,3.7,44.7,57.9%,7.1,1,-1,0,0,-1,-1.0,-0.1,0.1,45,11.9,535,2,0,MaclJe00
143,Matt Jones,WAS,23,RB,7,7,8,8,73,9.1,0,4,16,1.1,10.4,100.0%,9.1,99,460,3,28,57,4.6,65.7,14.1,107,5.0,533,3,3,JoneMa04
144,Chris Conley,KAN,24,WR,16,11,69,44,530,12.0,0,30,39,2.8,33.1,63.8%,7.7,,,,0,,,,,44,12.0,530,0,1,ConlCh00
